year,account_id,account_name,category_id,Category,subcategory_id,Subcategory,amount
2012,1,一般会計,1,議会費,1,議会費,336908767
2012,1,一般会計,2,総務費,1,総務管理費,3821840780
2012,1,一般会計,2,総務費,2,徴税費,515900610
2012,1,一般会計,2,総務費,3,戸籍住民基本台帳費,186485558
2012,1,一般会計,2,総務費,4,選挙費,76891327
2012,1,一般会計,2,総務費,5,統計調査費,5132298
2012,1,一般会計,2,総務費,6,監査委員費,45641947
2012,1,一般会計,3,民生費,1,社会福祉費,7188529733
2012,1,一般会計,3,民生費,2,児童福祉費,5012322373
2012,1,一般会計,3,民生費,3,生活保護費,1231215937
2012,1,一般会計,3,民生費,4,国民年金費,2450286
2012,1,一般会計,3,民生費,5,災害救助費,4566895
2012,1,一般会計,4,衛生費,1,保健衛生費,2662564895
2012,1,一般会計,4,衛生費,2,清掃費,1855608536
2012,1,一般会計,4,衛生費,3,水道費,661509000
2012,1,一般会計,4,衛生費,4,病院費,736557000
2012,1,一般会計,5,労働費,1,労働諸費,283551669
2012,1,一般会計,6,農林水産業費,1,農業費,2349558268
2012,1,一般会計,6,農林水産業費,2,林業費,258236472
2012,1,一般会計,7,商工費,1,商工費,1783539344
2012,1,一般会計,8,土木費,1,土木管理費,162631171
2012,1,一般会計,8,土木費,2,道路橋りょう費,3196445303
2012,1,一般会計,8,土木費,3,河川費,3824645
2012,1,一般会計,8,土木費,4,都市計画費,2116854217
2012,1,一般会計,8,土木費,5,住宅費,270064903
2012,1,一般会計,9,消防費,1,消防費,1836725771
2012,1,一般会計,10,教育費,1,教育総務費,678502039
2012,1,一般会計,10,教育費,2,小学校費,591591874
2012,1,一般会計,10,教育費,3,中学校費,3323523825
2012,1,一般会計,10,教育費,4,社会教育費,904396499
2012,1,一般会計,10,教育費,5,保健体育費,1167820088
2012,1,一般会計,11,災害復旧費,1,農林水産業施設災害復旧費,113238110
2012,1,一般会計,11,災害復旧費,2,公共土木施設災害復旧費,238052867
2012,1,一般会計,12,公債費,1,公債費,6613149513
2012,1,一般会計,13,諸支出金,1,普通財産取得費,440388835
2012,1,一般会計,13,諸支出金,2,基金費,2387054229
