year,account_id,account_name,category_id,Category,subcategory_id,Subcategory,amount
2010,1,一般会計,1,議会費,1,議会費,283700591
2010,1,一般会計,2,総務費,1,総務管理費,3914285534
2010,1,一般会計,2,総務費,2,徴税費,584041061
2010,1,一般会計,2,総務費,3,戸籍住民基本台帳費,202348345
2010,1,一般会計,2,総務費,4,選挙費,75186888
2010,1,一般会計,2,総務費,5,統計調査費,38915362
2010,1,一般会計,2,総務費,6,監査委員費,46032332
2010,1,一般会計,3,民生費,1,社会福祉費,7209457740
2010,1,一般会計,3,民生費,2,児童福祉費,5081917097
2010,1,一般会計,3,民生費,3,生活保護費,1305615702
2010,1,一般会計,3,民生費,4,国民年金費,2506702
2010,1,一般会計,3,民生費,5,災害救助費,9723750
2010,1,一般会計,4,衛生費,1,保健衛生費,2537555363
2010,1,一般会計,4,衛生費,2,清掃費,1255581689
2010,1,一般会計,4,衛生費,3,水道費,273535000
2010,1,一般会計,4,衛生費,4,病院費,909593000
2010,1,一般会計,5,労働費,1,労働諸費,399753542
2010,1,一般会計,6,農林水産業費,1,農業費,2638497037
2010,1,一般会計,6,農林水産業費,2,林業費,345467596
2010,1,一般会計,7,商工費,1,商工費,1828846543
2010,1,一般会計,8,土木費,1,土木管理費,189578193
2010,1,一般会計,8,土木費,2,道路橋りょう費,2763886863
2010,1,一般会計,8,土木費,3,河川費,7129750
2010,1,一般会計,8,土木費,4,都市計画費,5632673424
2010,1,一般会計,8,土木費,5,住宅費,346270537
2010,1,一般会計,9,消防費,1,消防費,1693493858
2010,1,一般会計,10,教育費,1,教育総務費,674393220
2010,1,一般会計,10,教育費,2,小学校費,1588573313
2010,1,一般会計,10,教育費,3,中学校費,2466310370
2010,1,一般会計,10,教育費,4,社会教育費,894161037
2010,1,一般会計,10,教育費,5,保健体育費,1185239601
2010,1,一般会計,11,災害復旧費,1,農林水産業施設災害復旧費,17931861
2010,1,一般会計,11,災害復旧費,2,公共土木施設災害復旧費,15961869
2010,1,一般会計,12,公債費,1,公債費,7102883321
2010,1,一般会計,13,諸支出金,1,普通財産取得費,451592094
2010,1,一般会計,13,諸支出金,2,基金費,2880672396
